number_of_trips,starttime_hour,usertype
227779,00:00:00,Customer
203174,01:00:00,Customer
155457,02:00:00,Customer
114834,03:00:00,Customer
98405,04:00:00,Customer
88661,05:00:00,Customer
66230,06:00:00,Customer
47723,07:00:00,Customer
31023,08:00:00,Customer
19348,09:00:00,Customer
11440,10:00:00,Customer
7952,11:00:00,Customer
13143,12:00:00,Customer
31180,13:00:00,Customer
54487,14:00:00,Customer
73348,15:00:00,Customer
75229,16:00:00,Customer
96406,17:00:00,Customer
125774,18:00:00,Customer
149417,19:00:00,Customer
156145,20:00:00,Customer
166464,21:00:00,Customer
185290,22:00:00,Customer
205879,23:00:00,Customer